crop,soil_type,Seedling Stage,Moisture (min. % of moisture in soil for healthy growth of crops,Temperature,Humidity,Rainfall in mm (based on humidity and temperature,Result (will rain or not within 2 hrs)
bananas,chalky,maturation,26.95,26.42,89.97,13.86,Yes
Large Cardamom,chalky,fruit/bulb formation,46.31,27.51,54.67,3.35,Yes
beans,chalky,fruit/bulb formation,32.62,20.49,42.18,4.51,Yes
potato,clay,flowering,36.85,18.57,54.14,0.6,No
orange,black,germination,25.45,28.03,76.13,17.37,Yes
cabbage,alluvial,germination,28.28,27.17,44.96,3.36,Yes
soyabeans,red,flowering,36.82,20.07,43.78,2.27,Yes
Large Cardamom,red,fruit/bulb formation,33.99,33.22,53.3,3.42,Yes
beans,clay,flowering,39.38,24.73,87.46,12.35,Yes
peas,chalky,germination,25.43,23.99,68.19,1.75,No
Turmeric,black,harvest,25.13,15.64,60.14,3.46,Yes
Maize (corn),chalky,maturation,37.91,19.02,51.18,1.92,No
kiwi,chalky,flowering,44.95,31.05,82.67,1.25,No
sweet potato,sandy,harvest,11.41,26.0,56.38,4.77,Yes
Maize (corn),clay,flowering,41.18,30.61,60.4,3.67,Yes
Large Cardamom,red,harvest,18.28,28.37,65.81,0.82,No
papaya,alluvial,maturation,36.64,25.01,62.19,4.96,Yes
radish,black,germination,22.43,25.31,42.46,4.66,Yes
Paddy (rice),chalky,fruit/bulb formation,38.84,31.64,82.75,3.85,Yes
Maize (corn),clay,maturation,29.46,16.76,89.75,19.2,Yes
bananas,alluvial,germination,28.1,30.36,65.87,0.69,No
radish,sandy,fruit/bulb formation,42.93,33.37,51.52,1.68,No
Ginger,chalky,flowering,38.68,22.57,57.23,3.44,Yes
orange,sandy,germination,31.93,26.15,65.7,0.66,No
bananas,sandy,fruit/bulb formation,39.45,23.73,51.76,0.1,No
orange,sandy,maturation,31.61,15.44,82.96,19.84,Yes
Turmeric,red,maturation,28.0,25.34,48.52,3.61,Yes
potato,red,maturation,28.67,34.88,87.81,1.78,No
potato,red,germination,29.06,15.4,45.1,0.06,No
kiwi,black,harvest,20.31,23.76,56.21,2.37,Yes
soyabeans,black,fruit/bulb formation,40.8,25.25,77.49,19.13,Yes
mustard,red,fruit/bulb formation,48.64,24.38,65.31,0.56,No
radish,chalky,fruit/bulb formation,37.13,25.19,53.72,4.05,Yes
orange,black,flowering,44.31,29.92,73.81,3.88,Yes
beans,alluvial,flowering,34.06,16.45,50.42,4.33,Yes
Large Cardamom,loam,fruit/bulb formation,36.3,29.76,57.44,0.36,No
radish,chalky,fruit/bulb formation,43.09,26.44,45.57,4.56,Yes
Turmeric,black,germination,32.44,31.09,64.21,2.63,Yes
peas,black,harvest,22.99,15.14,82.71,11.51,Yes
sweet potato,sandy,flowering,37.28,29.29,44.38,2.45,Yes
potato,sandy,flowering,35.12,24.81,60.61,2.95,Yes
orange,red,harvest,20.29,19.37,82.03,11.94,Yes
peas,loam,harvest,15.24,19.5,78.16,16.24,Yes
soyabeans,chalky,flowering,34.49,29.61,42.38,0.47,No
radish,alluvial,flowering,41.44,24.38,55.71,1.58,No
soyabeans,clay,germination,29.69,15.29,86.27,19.29,Yes
bananas,clay,maturation,37.24,34.26,45.36,0.8,No
cabbage,chalky,maturation,23.24,33.77,70.53,0.87,No
Turmeric,loam,flowering,38.57,15.76,44.69,3.37,Yes
potato,red,maturation,29.06,25.73,43.97,1.65,No
beans,alluvial,germination,35.88,22.77,56.44,3.72,Yes
radish,red,harvest,18.29,17.22,62.81,0.11,No
orange,clay,flowering,43.88,17.18,67.44,4.83,Yes
bananas,clay,germination,31.51,33.52,45.27,0.46,No
Ginger,black,fruit/bulb formation,49.79,31.64,53.1,1.58,No
orange,sandy,flowering,30.1,32.57,40.5,1.05,No
kiwi,chalky,flowering,32.01,23.21,41.92,0.44,No
Maize (corn),alluvial,maturation,19.01,27.77,84.13,3.04,Yes
Paddy (rice),black,maturation,20.64,20.56,59.85,3.2,Yes
Ginger,sandy,fruit/bulb formation,32.44,34.86,41.78,2.74,Yes
bananas,loam,germination,22.51,31.26,82.19,4.18,Yes
Paddy (rice),chalky,maturation,31.01,33.15,68.79,3.44,Yes
soyabeans,red,maturation,21.26,18.33,57.31,4.83,Yes
kiwi,red,harvest,27.13,31.8,85.63,2.32,Yes
Maize (corn),sandy,flowering,35.04,31.89,48.16,1.86,No
potato,black,germination,36.52,22.74,63.77,3.41,Yes
peas,chalky,harvest,20.96,17.81,45.41,2.19,Yes
Maize (corn),chalky,fruit/bulb formation,42.84,24.97,53.82,1.88,No
Ginger,alluvial,harvest,34.69,29.7,56.42,2.84,Yes
Turmeric,chalky,fruit/bulb formation,39.06,20.21,74.93,13.48,Yes
Paddy (rice),red,germination,38.2,29.97,76.3,2.34,Yes
bananas,loam,fruit/bulb formation,46.17,33.15,77.86,0.24,No
papaya,red,fruit/bulb formation,41.69,17.26,55.77,1.29,No
cabbage,sandy,flowering,32.45,16.62,70.53,7.51,Yes
Maize (corn),chalky,germination,28.15,26.66,59.51,3.94,Yes
potato,black,harvest,14.93,28.96,46.96,2.32,Yes
papaya,loam,germination,27.97,23.03,49.76,3.29,Yes
sweet potato,chalky,germination,28.06,34.8,87.27,4.46,Yes
cabbage,alluvial,fruit/bulb formation,39.48,30.65,56.85,1.88,No
soyabeans,chalky,flowering,33.3,27.03,76.54,18.94,Yes
potato,sandy,maturation,34.79,22.58,40.24,1.85,No
potato,chalky,maturation,28.4,20.59,48.79,1.19,No
cabbage,alluvial,maturation,32.55,25.63,54.65,2.22,Yes
radish,clay,maturation,30.76,16.67,49.81,0.33,No
soyabeans,red,harvest,11.5,33.33,76.85,0.09,No
peas,sandy,harvest,17.89,22.92,62.76,1.15,No
peas,loam,germination,23.9,30.93,85.48,0.89,No
Paddy (rice),alluvial,fruit/bulb formation,38.71,18.69,67.14,3.53,Yes
beans,sandy,maturation,29.78,34.81,48.33,4.45,Yes
beans,loam,germination,38.46,26.43,71.85,19.78,Yes
soyabeans,loam,fruit/bulb formation,45.81,32.16,51.38,0.08,No
papaya,loam,fruit/bulb formation,39.49,31.33,48.66,2.42,Yes
orange,alluvial,maturation,33.43,31.16,88.73,3.92,Yes
Large Cardamom,black,maturation,18.45,21.14,79.89,6.62,Yes
Large Cardamom,black,fruit/bulb formation,46.84,18.66,57.41,1.49,No
Large Cardamom,chalky,maturation,28.44,29.11,59.79,2.91,Yes
beans,black,flowering,27.44,15.14,68.66,4.82,Yes
Large Cardamom,alluvial,flowering,38.33,28.02,60.37,1.28,No
papaya,red,maturation,21.15,18.79,85.5,17.31,Yes
Turmeric,chalky,germination,34.99,33.61,46.89,4.99,Yes
kiwi,black,harvest,31.91,20.27,49.17,0.48,No
peas,black,maturation,30.67,16.17,85.92,4.8,Yes
soyabeans,alluvial,harvest,20.44,17.26,82.36,16.39,Yes
kiwi,chalky,germination,34.65,32.73,60.2,0.53,No
Ginger,red,maturation,27.22,31.65,82.91,2.72,Yes
Large Cardamom,red,germination,31.41,30.38,82.07,3.81,Yes
papaya,clay,flowering,38.33,21.61,89.82,10.16,Yes
Ginger,black,maturation,36.14,30.59,71.82,2.56,Yes
Paddy (rice),loam,flowering,39.51,30.9,84.94,0.06,No
beans,chalky,germination,21.67,32.16,64.38,4.31,Yes
sweet potato,loam,germination,28.52,20.69,42.74,3.68,Yes
soyabeans,black,harvest,21.98,26.15,76.46,13.54,Yes
Large Cardamom,clay,maturation,27.33,18.32,65.19,3.22,Yes
Turmeric,alluvial,germination,36.98,25.63,67.28,3.27,Yes
Paddy (rice),alluvial,maturation,35.55,24.52,50.2,3.59,Yes
Paddy (rice),clay,maturation,19.17,20.86,66.64,4.55,Yes
Maize (corn),sandy,flowering,41.93,21.19,77.59,1.69,No
Maize (corn),black,flowering,31.77,29.49,61.49,4.58,Yes
tomato,black,fruit/bulb formation,46.66,28.24,62.94,2.16,Yes
bananas,alluvial,maturation,25.83,27.92,59.72,3.54,Yes
Large Cardamom,clay,maturation,21.53,19.99,66.75,4.72,Yes
bananas,alluvial,flowering,46.26,30.43,44.05,4.74,Yes
beans,loam,flowering,32.64,26.73,40.24,0.25,No
sweet potato,clay,flowering,39.07,31.37,43.06,0.48,No
Ginger,loam,flowering,40.47,23.44,48.12,2.85,Yes
bananas,chalky,harvest,19.28,30.74,76.68,4.67,Yes
potato,loam,maturation,35.48,20.19,69.16,2.94,Yes
bananas,red,germination,29.32,33.12,77.57,4.31,Yes
sweet potato,clay,flowering,38.91,15.33,81.02,19.15,Yes
mustard,black,flowering,34.98,31.97,66.33,0.42,No
mustard,black,flowering,37.36,26.98,61.48,2.7,Yes
bananas,black,fruit/bulb formation,32.04,25.33,53.34,0.15,No
Maize (corn),clay,flowering,39.31,20.04,67.39,0.16,No
bananas,black,germination,25.97,21.44,46.28,1.1,No
kiwi,loam,harvest,24.45,21.06,85.27,2.38,Yes
Paddy (rice),chalky,maturation,23.78,21.32,71.97,9.87,Yes
Ginger,alluvial,maturation,26.86,24.14,44.68,4.46,Yes
Maize (corn),alluvial,harvest,19.52,24.8,63.73,4.6,Yes
cabbage,sandy,germination,27.58,25.78,54.83,0.15,No
Turmeric,chalky,fruit/bulb formation,49.09,25.19,49.45,0.06,No
radish,red,germination,37.77,34.43,76.54,3.67,Yes
Turmeric,clay,germination,25.8,15.16,55.23,4.88,Yes
bananas,red,germination,29.88,30.1,87.05,2.65,Yes
cabbage,chalky,harvest,25.59,32.07,68.8,2.7,Yes
bananas,chalky,fruit/bulb formation,45.77,23.05,71.0,6.11,Yes
cabbage,red,flowering,45.89,33.04,47.52,1.75,No
papaya,red,flowering,26.44,25.0,59.1,4.44,Yes
cabbage,black,maturation,26.08,22.77,66.08,4.13,Yes
mustard,sandy,maturation,30.87,15.5,88.59,15.32,Yes
Turmeric,red,fruit/bulb formation,48.33,22.21,53.17,3.13,Yes
peas,loam,germination,36.61,32.77,74.63,0.59,No
mustard,loam,flowering,29.92,29.61,63.88,3.74,Yes
cabbage,black,harvest,17.92,30.02,65.29,3.87,Yes
orange,black,fruit/bulb formation,51.15,25.83,86.24,17.47,Yes
Large Cardamom,sandy,maturation,23.02,23.93,85.67,8.42,Yes
potato,loam,germination,27.97,15.22,54.47,1.96,No
papaya,alluvial,harvest,22.69,30.27,83.29,4.54,Yes
Paddy (rice),loam,flowering,38.51,17.95,73.01,12.29,Yes
potato,sandy,fruit/bulb formation,39.21,33.38,88.39,4.53,Yes
Turmeric,alluvial,maturation,18.66,27.25,40.88,4.45,Yes
mustard,alluvial,flowering,34.17,18.28,85.2,2.06,Yes
tomato,alluvial,fruit/bulb formation,40.52,34.67,41.2,1.83,No
Turmeric,clay,maturation,25.09,21.25,55.01,2.98,Yes
Paddy (rice),red,germination,34.39,33.38,41.55,2.04,Yes
kiwi,black,germination,31.74,30.65,42.99,1.48,No
cabbage,black,fruit/bulb formation,41.49,15.9,45.96,4.6,Yes
Turmeric,loam,harvest,18.58,25.99,42.68,0.91,No
Paddy (rice),black,flowering,28.73,25.9,42.67,0.38,No
kiwi,chalky,fruit/bulb formation,35.19,26.18,69.71,2.82,Yes
peas,chalky,maturation,28.84,25.81,88.54,15.56,Yes
cabbage,alluvial,flowering,43.15,29.95,82.2,15.78,Yes
soyabeans,alluvial,germination,29.13,30.22,49.03,3.73,Yes
tomato,chalky,harvest,26.24,33.02,42.37,4.38,Yes
peas,chalky,fruit/bulb formation,34.72,34.23,68.53,1.09,No
beans,loam,harvest,22.19,21.14,66.34,2.42,Yes
radish,sandy,harvest,24.5,23.0,74.16,19.7,Yes
sweet potato,sandy,harvest,19.16,31.56,71.66,2.74,Yes
potato,red,harvest,27.28,30.14,79.41,4.62,Yes
Turmeric,clay,fruit/bulb formation,32.7,32.05,89.57,0.7,No
Maize (corn),loam,germination,24.49,26.5,85.48,8.94,Yes
papaya,black,flowering,34.18,17.94,63.9,0.04,No
orange,red,flowering,32.54,22.56,84.35,5.07,Yes
papaya,loam,flowering,38.98,31.27,58.13,0.98,No
kiwi,chalky,harvest,25.58,23.05,47.07,4.2,Yes
orange,black,fruit/bulb formation,45.59,21.86,89.46,3.51,Yes
Ginger,clay,maturation,35.46,31.08,56.47,1.49,No
peas,red,germination,33.35,33.37,64.34,3.16,Yes
Turmeric,black,germination,33.99,15.98,82.08,16.12,Yes
sweet potato,black,harvest,17.91,21.81,89.68,1.68,No
Large Cardamom,loam,flowering,32.29,28.12,74.37,12.65,Yes
Turmeric,loam,fruit/bulb formation,43.2,30.55,81.65,2.04,Yes
papaya,loam,fruit/bulb formation,36.52,16.1,48.59,4.54,Yes
bananas,clay,fruit/bulb formation,38.48,31.76,84.46,3.97,Yes
bananas,red,maturation,22.72,26.96,88.84,17.35,Yes
peas,clay,maturation,29.93,16.29,88.13,2.25,Yes
Turmeric,clay,flowering,29.39,22.14,64.15,2.7,Yes
bananas,black,germination,27.7,15.05,68.7,2.59,Yes
mustard,chalky,harvest,23.7,32.21,44.43,0.99,No
radish,loam,harvest,23.93,25.02,83.15,10.15,Yes
beans,alluvial,harvest,17.55,28.96,73.57,6.53,Yes
peas,red,germination,31.12,23.62,86.04,9.45,Yes
bananas,chalky,flowering,35.49,33.06,49.96,1.57,No
bananas,red,maturation,28.35,34.42,46.61,0.38,No
Maize (corn),sandy,maturation,31.47,29.63,84.74,1.37,No
peas,sandy,harvest,17.49,15.84,58.12,4.7,Yes
peas,chalky,fruit/bulb formation,39.14,23.52,81.69,2.53,Yes
sweet potato,sandy,germination,29.34,22.97,52.91,3.82,Yes
soyabeans,clay,flowering,39.16,30.51,48.54,3.36,Yes
bananas,red,fruit/bulb formation,34.47,22.88,78.29,5.59,Yes
cabbage,alluvial,flowering,45.45,26.39,49.97,4.79,Yes
kiwi,red,maturation,23.38,16.59,60.45,0.22,No
bananas,red,flowering,37.55,29.13,43.7,0.67,No
kiwi,chalky,fruit/bulb formation,42.51,22.87,83.12,8.8,Yes
potato,black,flowering,46.52,18.11,53.19,4.79,Yes
Large Cardamom,sandy,maturation,22.48,28.67,50.74,4.81,Yes
beans,loam,fruit/bulb formation,41.55,33.79,66.94,2.91,Yes
Turmeric,alluvial,fruit/bulb formation,43.74,17.25,77.38,4.09,Yes
orange,red,harvest,18.08,22.34,50.59,3.86,Yes
papaya,loam,harvest,21.2,27.7,43.09,0.22,No
Large Cardamom,red,germination,29.86,15.11,78.54,10.74,Yes
papaya,chalky,germination,28.91,16.52,61.75,2.76,Yes
tomato,loam,maturation,17.85,21.18,86.85,16.99,Yes
peas,sandy,germination,33.08,20.26,44.96,1.17,No
Paddy (rice),clay,maturation,30.64,24.52,44.83,4.04,Yes
soyabeans,chalky,harvest,17.9,26.76,49.13,2.12,Yes
sweet potato,alluvial,fruit/bulb formation,37.77,32.07,43.24,3.47,Yes
bananas,alluvial,harvest,18.45,23.08,62.72,1.94,No
cabbage,red,maturation,27.58,15.99,40.23,0.71,No
soyabeans,sandy,germination,34.58,30.63,88.68,0.27,No
tomato,alluvial,flowering,35.74,27.71,40.02,4.63,Yes
sweet potato,loam,fruit/bulb formation,35.36,21.37,62.63,4.2,Yes
peas,alluvial,harvest,26.99,28.28,89.09,4.52,Yes
tomato,chalky,maturation,33.78,21.12,81.75,3.67,Yes
soyabeans,alluvial,germination,36.35,22.61,73.21,10.38,Yes
cabbage,loam,flowering,40.93,27.92,85.37,3.88,Yes
mustard,red,harvest,19.01,25.87,43.73,1.24,No
kiwi,alluvial,fruit/bulb formation,38.44,21.06,62.98,4.64,Yes
papaya,alluvial,fruit/bulb formation,39.88,29.3,83.38,13.84,Yes
Large Cardamom,clay,maturation,34.1,29.47,59.54,4.59,Yes
sweet potato,alluvial,maturation,34.25,26.28,74.93,2.74,Yes
sweet potato,black,flowering,27.97,18.08,85.18,14.73,Yes
Ginger,alluvial,harvest,23.1,20.89,82.29,8.11,Yes
sweet potato,black,harvest,25.92,17.4,58.23,3.49,Yes
bananas,clay,harvest,32.51,17.1,51.19,4.14,Yes
Turmeric,loam,germination,30.34,28.66,46.15,3.66,Yes
papaya,black,fruit/bulb formation,42.93,31.95,76.64,3.3,Yes
kiwi,sandy,flowering,42.43,17.16,69.66,2.2,Yes
bananas,black,maturation,35.48,20.1,52.04,4.39,Yes
Maize (corn),chalky,flowering,33.85,17.98,53.8,3.05,Yes
radish,clay,fruit/bulb formation,37.98,16.95,67.33,2.99,Yes
Maize (corn),black,germination,35.96,18.56,61.86,2.94,Yes
beans,chalky,maturation,21.72,22.24,83.26,8.74,Yes
Paddy (rice),red,fruit/bulb formation,45.64,26.87,89.37,3.92,Yes
Maize (corn),black,harvest,32.62,20.71,75.19,3.49,Yes
Ginger,clay,harvest,24.08,27.96,46.33,0.29,No
Ginger,alluvial,harvest,22.37,28.98,53.14,4.52,Yes
Paddy (rice),sandy,fruit/bulb formation,39.1,34.78,69.68,3.8,Yes
kiwi,chalky,fruit/bulb formation,38.62,24.67,46.95,3.01,Yes
Large Cardamom,clay,harvest,30.94,21.02,86.24,4.28,Yes
bananas,sandy,maturation,33.35,15.14,63.02,3.98,Yes
bananas,loam,harvest,18.8,23.84,71.74,14.66,Yes
Ginger,sandy,flowering,40.53,23.33,49.66,4.29,Yes
cabbage,clay,harvest,32.83,28.44,45.16,3.94,Yes
papaya,chalky,maturation,30.42,34.16,78.33,1.32,No
beans,chalky,flowering,30.6,28.65,63.15,1.29,No
soyabeans,alluvial,flowering,38.19,23.2,48.96,4.09,Yes
soyabeans,black,fruit/bulb formation,50.11,30.19,74.13,1.46,No
potato,loam,fruit/bulb formation,40.25,28.5,83.04,7.55,Yes
Paddy (rice),sandy,fruit/bulb formation,52.37,22.08,76.41,10.18,Yes
orange,chalky,germination,29.58,24.9,59.82,3.29,Yes
Paddy (rice),chalky,flowering,33.96,26.96,66.87,2.97,Yes
orange,red,maturation,27.18,26.43,84.43,2.93,Yes
papaya,sandy,germination,25.13,25.76,81.01,4.35,Yes
papaya,loam,flowering,33.86,34.52,81.43,4.96,Yes
bananas,sandy,germination,30.81,17.25,70.25,8.42,Yes
tomato,clay,flowering,27.41,25.87,81.15,11.2,Yes
Paddy (rice),sandy,fruit/bulb formation,44.96,18.12,42.86,4.37,Yes
bananas,loam,germination,26.84,20.74,43.66,2.21,Yes
Paddy (rice),loam,harvest,21.13,27.52,88.77,9.01,Yes
radish,chalky,harvest,18.64,21.25,59.06,3.65,Yes
radish,black,flowering,30.83,27.33,84.98,8.9,Yes
potato,clay,germination,35.11,21.98,56.1,3.39,Yes
peas,alluvial,flowering,30.75,33.89,64.35,3.58,Yes
cabbage,clay,fruit/bulb formation,36.5,16.99,46.25,2.48,Yes
beans,black,germination,23.84,32.67,55.65,2.17,Yes
Paddy (rice),red,fruit/bulb formation,45.28,30.69,85.58,2.64,Yes
Paddy (rice),alluvial,fruit/bulb formation,42.87,16.26,87.3,14.98,Yes
radish,red,flowering,37.14,31.15,74.87,3.04,Yes
Maize (corn),clay,harvest,19.79,20.47,42.19,1.3,No
potato,clay,harvest,27.63,16.23,75.43,3.66,Yes
radish,loam,harvest,20.03,17.4,77.69,13.27,Yes
Turmeric,chalky,harvest,19.08,27.51,52.67,3.78,Yes
Large Cardamom,clay,germination,34.04,27.87,74.05,6.72,Yes
soyabeans,alluvial,maturation,27.94,18.3,67.4,2.63,Yes
papaya,black,maturation,23.19,27.11,85.04,12.66,Yes
tomato,red,germination,28.7,17.88,80.95,8.94,Yes
potato,black,harvest,26.04,17.11,53.16,3.3,Yes
Turmeric,alluvial,flowering,38.53,28.18,58.64,2.67,Yes
Maize (corn),black,germination,33.12,19.74,45.05,2.14,Yes
Paddy (rice),chalky,maturation,32.46,15.12,74.3,9.17,Yes
orange,red,fruit/bulb formation,40.61,19.06,82.51,8.26,Yes
peas,loam,harvest,17.08,15.79,85.53,6.54,Yes
beans,alluvial,flowering,36.59,20.88,47.51,0.07,No
papaya,alluvial,fruit/bulb formation,51.4,30.45,41.63,4.86,Yes
kiwi,red,germination,25.37,31.45,70.16,2.88,Yes
orange,clay,flowering,32.35,15.07,81.74,15.28,Yes
Large Cardamom,loam,germination,30.29,15.16,43.26,1.83,No
peas,loam,maturation,28.33,20.8,57.74,3.22,Yes
soyabeans,black,maturation,25.06,23.95,61.6,4.47,Yes
mustard,sandy,harvest,20.66,30.3,69.84,2.58,Yes
Paddy (rice),red,germination,36.27,28.51,49.97,2.9,Yes
tomato,red,maturation,30.25,18.31,81.39,15.7,Yes
kiwi,clay,germination,33.28,21.39,70.75,6.42,Yes
kiwi,alluvial,germination,34.04,15.9,45.52,2.05,Yes
beans,alluvial,maturation,27.8,21.72,71.01,18.48,Yes
cabbage,loam,fruit/bulb formation,48.89,27.43,75.64,11.53,Yes
Maize (corn),clay,germination,28.15,22.99,68.78,2.48,Yes
peas,sandy,flowering,32.83,21.45,77.09,2.38,Yes
Turmeric,red,harvest,14.12,17.19,45.23,1.54,No
sweet potato,loam,maturation,19.5,15.46,40.32,1.1,No
radish,clay,flowering,48.59,31.21,59.47,2.32,Yes
radish,red,maturation,29.61,34.76,59.68,3.29,Yes
orange,loam,maturation,19.2,34.14,45.6,1.97,No
cabbage,sandy,germination,34.41,20.54,71.83,5.14,Yes
Paddy (rice),clay,flowering,31.72,29.74,61.72,0.2,No
tomato,chalky,flowering,38.03,24.57,89.89,2.63,Yes
cabbage,black,flowering,38.77,29.55,52.81,2.8,Yes
soyabeans,loam,germination,27.45,23.01,81.19,14.29,Yes
sweet potato,black,maturation,24.73,17.84,88.12,14.19,Yes
beans,black,germination,30.58,27.79,68.36,3.27,Yes
papaya,black,fruit/bulb formation,42.79,15.08,50.24,4.83,Yes
Turmeric,red,maturation,18.2,26.14,74.88,12.8,Yes
mustard,sandy,flowering,29.01,27.98,62.77,0.03,No
bananas,clay,flowering,40.38,16.15,50.63,4.03,Yes
bananas,chalky,germination,28.65,20.37,45.26,2.62,Yes
beans,alluvial,germination,22.18,31.65,44.25,0.0,No
potato,black,maturation,26.98,32.58,68.98,1.79,No
tomato,black,germination,35.68,15.36,82.79,15.2,Yes
peas,alluvial,maturation,23.58,21.04,82.32,13.44,Yes
kiwi,red,harvest,21.58,19.97,50.09,1.64,No
Maize (corn),red,maturation,24.61,22.72,59.01,2.49,Yes
radish,loam,flowering,42.92,24.56,46.62,3.98,Yes
Ginger,clay,germination,36.81,20.26,72.49,15.23,Yes
Ginger,loam,fruit/bulb formation,42.81,17.75,41.67,2.49,Yes
papaya,red,flowering,40.76,21.85,53.35,2.91,Yes
Maize (corn),red,maturation,31.56,27.93,43.9,4.42,Yes
papaya,black,maturation,29.9,17.98,41.78,4.87,Yes
beans,red,fruit/bulb formation,38.33,20.84,73.31,14.18,Yes
potato,sandy,flowering,43.29,34.71,80.43,3.48,Yes
Turmeric,red,harvest,18.31,15.82,57.24,1.59,No
mustard,black,harvest,26.71,30.78,83.05,3.51,Yes
radish,black,flowering,47.68,31.85,83.47,1.38,No
orange,clay,flowering,37.18,21.17,53.1,1.44,No
papaya,clay,harvest,29.23,23.75,40.64,3.21,Yes
Turmeric,loam,maturation,17.59,32.88,80.66,1.87,No
tomato,red,germination,26.47,15.68,52.99,0.89,No
potato,sandy,maturation,31.59,22.48,83.67,18.58,Yes
cabbage,clay,harvest,30.75,20.07,54.45,1.2,No
beans,sandy,fruit/bulb formation,41.79,26.26,59.91,1.0,No
Ginger,red,fruit/bulb formation,39.71,31.01,75.65,0.54,No
sweet potato,alluvial,flowering,42.84,21.64,44.28,4.45,Yes
bananas,sandy,flowering,45.47,31.4,58.29,1.56,No
radish,loam,harvest,29.85,32.75,64.64,0.51,No
Large Cardamom,alluvial,fruit/bulb formation,33.67,28.99,47.75,1.17,No
Maize (corn),chalky,flowering,38.21,21.21,72.06,2.23,Yes
potato,chalky,maturation,29.96,34.49,50.12,0.59,No
Paddy (rice),loam,germination,29.71,32.46,67.24,1.88,No
Maize (corn),loam,maturation,33.3,32.62,85.17,0.68,No
bananas,chalky,harvest,16.56,20.62,42.61,2.36,Yes
papaya,black,germination,31.29,16.79,69.75,2.51,Yes
Turmeric,sandy,germination,34.75,24.65,80.18,15.4,Yes
bananas,sandy,germination,22.83,34.54,77.87,3.93,Yes
Paddy (rice),clay,fruit/bulb formation,41.33,22.1,43.5,2.9,Yes
sweet potato,black,germination,31.29,29.68,51.18,0.91,No
Large Cardamom,red,germination,30.95,23.2,46.25,2.07,Yes
tomato,loam,harvest,27.16,29.65,53.58,2.86,Yes
Paddy (rice),sandy,maturation,31.55,34.37,72.93,3.47,Yes
beans,black,fruit/bulb formation,42.45,20.82,44.63,2.85,Yes
beans,chalky,harvest,14.72,25.03,74.06,10.26,Yes
bananas,sandy,germination,27.67,17.67,60.88,4.37,Yes
peas,chalky,fruit/bulb formation,34.46,23.21,73.11,15.46,Yes
Paddy (rice),alluvial,fruit/bulb formation,46.2,28.77,70.43,14.1,Yes
bananas,loam,germination,35.67,16.01,59.73,0.4,No
sweet potato,clay,flowering,39.31,31.85,87.4,0.7,No
Paddy (rice),alluvial,flowering,44.35,25.87,64.45,0.07,No
sweet potato,chalky,maturation,29.85,18.38,57.74,2.87,Yes
potato,chalky,flowering,42.86,31.15,69.09,4.92,Yes
papaya,chalky,flowering,41.83,17.85,49.5,2.88,Yes
kiwi,chalky,harvest,16.61,28.76,73.4,19.06,Yes
peas,chalky,fruit/bulb formation,47.82,22.47,50.17,4.95,Yes
kiwi,chalky,flowering,37.74,27.82,70.7,17.09,Yes
mustard,clay,germination,28.85,26.51,58.54,3.0,Yes
cabbage,red,fruit/bulb formation,44.13,26.83,72.76,13.91,Yes
Maize (corn),alluvial,flowering,25.47,17.76,63.1,3.34,Yes
cabbage,alluvial,germination,25.04,33.01,62.58,2.22,Yes
Ginger,loam,maturation,36.52,16.61,68.15,1.61,No
Large Cardamom,red,maturation,30.13,33.14,87.4,2.01,Yes
beans,clay,maturation,27.11,20.1,71.66,16.76,Yes
kiwi,sandy,fruit/bulb formation,49.36,21.52,41.33,3.03,Yes
orange,alluvial,maturation,30.57,28.34,76.84,8.32,Yes
Large Cardamom,red,harvest,20.34,32.94,71.58,0.72,No
kiwi,chalky,flowering,38.25,33.63,72.55,0.73,No
beans,clay,fruit/bulb formation,49.23,23.68,68.04,4.34,Yes
cabbage,sandy,maturation,32.85,34.19,40.5,2.25,Yes
soyabeans,clay,maturation,17.94,19.48,81.11,9.4,Yes
kiwi,chalky,maturation,21.37,17.14,63.01,1.78,No
Ginger,alluvial,harvest,13.41,21.33,87.33,19.93,Yes
potato,alluvial,flowering,43.4,19.02,89.05,19.3,Yes
papaya,red,maturation,20.44,15.13,44.96,2.44,Yes
sweet potato,chalky,maturation,17.76,17.53,60.91,2.63,Yes
bananas,loam,germination,35.84,17.71,60.24,1.1,No
cabbage,alluvial,flowering,40.62,22.85,72.68,1.1,No
cabbage,black,harvest,13.62,28.0,64.97,2.04,Yes
potato,clay,harvest,15.59,20.13,64.85,2.96,Yes
papaya,alluvial,maturation,35.2,23.25,75.77,9.71,Yes
tomato,alluvial,harvest,20.77,31.03,76.24,3.65,Yes
mustard,chalky,fruit/bulb formation,44.84,30.4,41.77,4.23,Yes
kiwi,alluvial,germination,30.93,15.88,87.25,4.01,Yes
soyabeans,sandy,maturation,28.72,30.46,67.92,2.81,Yes
kiwi,clay,germination,36.34,31.5,57.84,0.64,No
orange,alluvial,flowering,35.24,30.06,79.76,3.45,Yes
Paddy (rice),alluvial,germination,27.35,22.63,69.15,2.24,Yes
Large Cardamom,black,germination,33.38,34.25,51.42,1.03,No
mustard,alluvial,harvest,19.48,28.01,81.16,18.43,Yes
Maize (corn),sandy,germination,32.62,25.19,66.1,4.41,Yes
tomato,black,harvest,19.51,20.52,55.52,2.12,Yes
mustard,loam,germination,25.81,21.51,46.92,2.95,Yes
